image_name,x,y,w,h,label,occ_type,occ_degree,gender,race,orientation
train_00010343.jpg,136.0,267.0,302.0,302.0,Mask,Simple,3.0,Female,Caucasian,Frontal
train_00000172.jpg,130.0,182.0,47.0,47.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00006145.jpg,60.0,108.0,285.0,285.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00001700.jpg,590.0,381.0,109.0,109.0,Mask,Simple,3.0,Male,Asian,Frontal
train_00000224.jpg,81.0,137.0,161.0,161.0,Mask,Simple,3.0,Male,Caucasian,Frontal
train_00019893.jpg,71.0,79.0,93.0,93.0,Mask,Complex,3.0,Female,Asian,Frontal
test_00003883.jpg,249.0,151.0,49.0,49.0,Mask,Human body,3.0,Female,Asian,Frontal
train_00021590.jpg,145.0,171.0,181.0,181.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00004932.jpg,38.0,120.0,285.0,285.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00003043.jpg,479.0,57.0,254.0,254.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00019418.jpg,63.0,131.0,178.0,178.0,Mask,Complex,3.0,Female,Asian,Frontal
test_00004496.jpg,89.0,242.0,98.0,98.0,Mask,Human body,2.0,Male,Asian,Frontal
train_00004754.jpg,129.0,105.0,288.0,288.0,Mask,Complex,3.0,Female,Asian,Frontal
test_00003491.jpg,293.0,345.0,466.0,466.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00000646.jpg,34.0,28.0,125.0,125.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00007691.jpg,87.0,190.0,291.0,291.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00009296.jpg,70.0,48.0,62.0,62.0,Mask,Simple,3.0,Male,Asian,Frontal
test_00004155.jpg,496.0,105.0,33.0,33.0,Mask,Complex,3.0,Male,Asian,Frontal
train_00019931.jpg,188.0,129.0,189.0,189.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00020117.jpg,194.0,615.0,95.0,95.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00022854.jpg,193.0,67.0,237.0,237.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00001433.jpg,226.0,170.0,322.0,322.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00006092.jpg,67.0,77.0,58.0,58.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00005546.jpg,239.0,169.0,237.0,237.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00008528.jpg,66.0,92.0,89.0,89.0,Mask,Simple,3.0,Male,Caucasian,Frontal
train_00014013.jpg,248.0,151.0,96.0,96.0,Mask,Complex,3.0,Male,Asian,Frontal
train_00012094.jpg,190.0,53.0,109.0,109.0,Mask,Complex,3.0,Male,Asian,Frontal
test_00001539.jpg,122.0,61.0,108.0,108.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00023378.jpg,49.0,26.0,85.0,85.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00005563.jpg,265.0,95.0,57.0,57.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00014304.jpg,225.0,105.0,63.0,63.0,Mask,Complex,3.0,Male,Asian,Frontal
train_00009939.jpg,8.0,24.0,157.0,157.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00008308.jpg,119.0,79.0,124.0,124.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00002062.jpg,79.0,53.0,84.0,84.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00010049.jpg,23.0,22.0,139.0,139.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00002997.jpg,59.0,41.0,86.0,86.0,Mask,Simple,3.0,Male,Asian,Frontal
train_00003275.jpg,50.0,26.0,72.0,72.0,Mask,Simple,3.0,Male,Asian,Frontal
train_00014951.jpg,39.0,280.0,458.0,458.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00005952.jpg,276.0,118.0,76.0,76.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00005364.jpg,68.0,79.0,183.0,183.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00022428.jpg,146.0,153.0,299.0,299.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00001373.jpg,60.0,232.0,287.0,287.0,Mask,Complex,3.0,Male,Asian,Frontal
train_00024443.jpg,26.0,43.0,41.0,41.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00012978.jpg,115.0,56.0,55.0,55.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00014251.jpg,303.0,88.0,100.0,100.0,Mask,Simple,3.0,Male,Asian,Frontal
train_00025524.jpg,58.0,46.0,50.0,50.0,Mask,Complex,3.0,Male,Asian,Frontal
train_00012669.jpg,455.0,145.0,295.0,295.0,Mask,Complex,3.0,Male,Asian,Frontal
train_00011784.jpg,97.0,113.0,136.0,136.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00004323.jpg,19.0,20.0,146.0,146.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00001625.jpg,304.0,82.0,104.0,104.0,Mask,Simple,3.0,Male,Asian,Frontal
train_00008733.jpg,57.0,122.0,126.0,126.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00013793.jpg,469.0,268.0,159.0,159.0,Mask,Simple,3.0,Male,Caucasian,Frontal
train_00016345.jpg,120.0,161.0,155.0,155.0,Mask,Complex,3.0,Male,Caucasian,Frontal
train_00005658.jpg,175.0,289.0,302.0,302.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00008571.jpg,242.0,94.0,114.0,114.0,Mask,Simple,3.0,Female,Asian,Frontal
test_00004687.jpg,207.0,60.0,418.0,418.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00023608.jpg,90.0,1.0,78.0,78.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00013973.jpg,432.0,326.0,57.0,57.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00016267.jpg,211.0,190.0,138.0,138.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00024056.jpg,26.0,21.0,96.0,96.0,Mask,Complex,3.0,Female,Asian,Frontal
test_00000524.jpg,52.0,34.0,46.0,46.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00012539.jpg,302.0,77.0,70.0,70.0,Mask,Complex,3.0,Female,Asian,Frontal
train_00004073.jpg,40.0,54.0,76.0,76.0,Mask,Simple,3.0,Female,Asian,Frontal
train_00020082.jpg,121.0,39.0,219.0,219.0,Mask,Simple,3.0,Male,Asian,Frontal
test_00001459.jpg,252.0,246.0,263.0,263.0,Mask,Complex,3.0,Female,Asian,Frontal
